VIDEOID,SIGNALID,LOCATION,TIME1,TIME2,X1,X2,X3,X4,P1,P2,P3,P4,C1,C2,C3,C4,PERSON1,PERSON2,SAVED,NOTES,FOLDER
96,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/6/2019 7:39,4/6/2019 7:40,,E,S,,8,2,4,6,,SE,,,PAS,,39:55.9,,2019-04-05 4406
97,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/6/2019 7:47,4/6/2019 10:08,,E,S,,8,2,4,6,,SE,,,PAS,,39:55.9,,2019-04-05 4406
98,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/6/2019 10:09,4/6/2019 10:32,,E,S,,8,2,4,6,,SE,,,PAS,,39:55.9,,2019-04-05 4406
99,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/6/2019 10:32,4/6/2019 10:52,,E,S,,8,2,4,6,,SE,,,PAS,,39:55.9,,2019-04-05 4406
100,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/6/2019 10:53,4/7/2019 4:51,,E,S,,8,2,4,6,,SE,,,PAS,,39:55.9,,2019-04-05 4406
101,5363,"500 W / US-89 @ 400 N / SR-106, BTF",4/5/2019 14:24,4/8/2019 8:22,,,S,W,8,2,4,6,,,SW,,PAS,RM,46:28.3,,2019-04-05 5363
102,6407,"University Ave / US-189 @ Center St, PVO",4/5/2019 14:25,4/8/2019 8:22,N,E,,,8,2,4,6,NE,,,,PAS,RM,33:55.7,,2019-04-05 6407
103,8208,"Main St / SR-130 @ 200 N / Freedom Blvd / SR-56, CDC",4/5/2019 14:25,4/5/2019 21:26,N,E,,,8,2,4,6,NE,,,,PAS,,51:14.2,,2019-04-05a 8208
104,8208,"Main St / SR-130 @ 200 N / Freedom Blvd / SR-56, CDC",4/5/2019 22:03,4/8/2019 8:22,N,E,,,8,2,4,6,NE,,,,PAS,,52:40.2,,2019-04-05b 8208
105,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/7/2019 8:38,4/8/2019 8:22,,E,S,,8,2,4,6,,SE,,,PAS,,41:38.8,,2019-04-07 4406
106,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/8/2019 8:31,4/9/2019 23:06,N,,S,W,8,2,4,6,,,SW,NW,PAS,SB,05:36.0,,2019-04-08 4406
107,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/9/2019 23:15,4/9/2019 23:16,N,,S,W,8,2,4,6,,,SW,NW,PAS,SB,05:36.0,,2019-04-08 4406
108,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/9/2019 23:18,4/10/2019 3:21,N,,S,W,8,2,4,6,,,SW,NW,PAS,SB,05:36.0,,2019-04-08 4406
109,5363,"500 W / US-89 @ 400 N / SR-106, BTF",4/8/2019 8:32,4/10/2019 3:21,N,E,,W,8,2,4,6,NE,,,NW,PAS,SB,02:58.0,,2019-04-08 5363
110,6146,"Cory B Wride Memorial Hwy / SR-73 @ Ranches Pkwy, EAG",4/8/2019 8:33,4/10/2019 3:21,N,E,,,2,NA,6,8,NE,,,,PAS,SB,07:06.9,,2019-04-08 6146
111,8208,"Main St / SR-130 @ 200 N / Freedom Blvd / SR-56, CDC",4/8/2019 8:34,4/10/2019 3:21,,,S,W,8,2,4,6,,,SW,,PAS,MH,50:28.4,,2019-04-08 8208
112,4522,"Grizzlies Blvd / 3100 S @ Decker Lake Dr, WVC",4/10/2019 8:19,4/12/2019 7:36,N,E,,,2,4,6,8,NE,,,,PAS,MH,07:06.3,,2019-04-10 4522
113,5179,"US-89 @ Harrison Blvd / 1550 E / SR-203, SOG",4/10/2019 8:20,4/12/2019 1:30,,,SW,NW,NA,NA,6,8,,,W,,PAS,,53:48.0,,2019-04-10 5179
114,5179,"US-89 @ Harrison Blvd / 1550 E / SR-203, SOG",4/12/2019 2:11,4/12/2019 7:36,,,SW,NW,NA,NA,6,8,,,W,,PAS,,53:48.0,,2019-04-10 5179
115,7041,"South Campus Dr / SR-282 @ 1725 E, SLC",4/10/2019 8:21,4/12/2019 3:49,N,E,,,2,4,6,8,NE,,,,PAS,JDD,35:26.3,,2019-04-10 7041
116,7041,"South Campus Dr / SR-282 @ 1725 E, SLC",4/12/2019 5:45,4/12/2019 7:36,N,E,,,2,4,6,8,NE,,,,PAS,JDD,35:26.3,,2019-04-10 7041
117,8124,"St George Blvd / SR-34 @ River Rd / Red Cliffs Dr, STG",4/10/2019 8:22,4/12/2019 7:36,,,S,W,NA,2,4,6,,,SW,,PAS,,00:21.0,,2019-04-10 8124
118,4522,"Grizzlies Blvd / 3100 S @ Decker Lake Dr, WVC",4/12/2019 7:44,4/15/2019 8:03,,,S,W,2,4,6,8,,,SW,,PAS,,00:02.8,,2019-04-12 4522
119,7328,"5400 S / SR-173 @ 4015 W, TAY",4/12/2019 7:46,4/13/2019 2:54,N,E,,W,2,4,6,8,NE,,,NW,PAS,MH,55:23.6,,2019-04-12 7328
120,7328,"5400 S / SR-173 @ 4015 W, TAY",4/13/2019 3:26,4/15/2019 8:03,N,E,,W,2,4,6,8,NE,,,NW,PAS,MH,55:23.6,,2019-04-12 7328
121,8124,"St George Blvd / SR-34 @ River Rd / Red Cliffs Dr, STG",4/12/2019 7:47,4/15/2019 8:03,N,E,S,,NA,2,4,6,NE,SE,,,PAS,MH,57:56.7,,2019-04-12 8124
122,1045,"700 S @ Main St, SLC",4/16/2019 8:45,4/18/2019 15:01,N,,,W,8,2,4,6,,,,NW,PAS,SB,18:49.3,,2019-04-16 1045
123,7041,"South Campus Dr / SR-282 @ 1725 E, SLC",4/16/2019 8:45,4/18/2019 15:01,,,S,W,2,4,6,8,,,SW,,PAS,,58:14.5,,2019-04-16 7041
124,7328,"5400 S / SR-173 @ 4015 W, TAY",4/16/2019 8:46,4/18/2019 15:01,,E,S,,2,4,6,8,,SE,,,PAS,SB,56:14.6,,2019-04-16 7328
125,1045,"700 S @ Main St, SLC",4/24/2019 10:21,4/26/2019 15:05,,E,S,,8,2,4,6,,SE,,,PAS,,31:34.4,,2019-04-24 1045
126,1094,"South Temple St @ 700 E / I St, SLC",4/24/2019 10:22,4/26/2019 15:05,,E,S,,6,2,4,3,,SE,,,PAS,MH,10:18.9,,2019-04-24 1094
127,7119,"Redwood Rd / SR-68 @ 12600 S / SR-71, RVT",4/24/2019 10:23,4/26/2019 15:05,N,E,,,8,2,4,6,NE,,,,PAS,SB,35:07.1,,2019-04-24 7119
128,4024,"Fort Union Blvd / 6910 S @ 1300 E, CWH",6/13/2019 8:57,6/13/2019 19:13,N,,,W,2,4,6,8,,,,NW,PAS,,34:53.0,,2019-06-13 4024
129,4024,"Fort Union Blvd / 6910 S @ 1300 E, CWH",6/13/2019 19:15,6/14/2019 15:05,N,,,W,2,4,6,8,,,,NW,PAS,,34:53.0,,2019-06-13 4024
130,6436,"University Pkwy / SR-265 @ 2230 N / Riverside Ave / 550 W, PVO",6/13/2019 8:57,6/14/2019 15:05,,,SW,,2,4,6,8,,S,W,,PAS,,39:57.0,,2019-06-13 6436
131,8117,"St George Blvd / SR-34 @ Main St, STG",6/13/2019 8:58,6/14/2019 15:05,,,S,W,2,4,6,8,,,SW,,PAS,SB,34:08.1,,2019-06-13 8117
132,4024,"Fort Union Blvd / 6910 S @ 1300 E, CWH",6/14/2019 15:14,6/17/2019 8:46,,E,S,,2,4,6,8,,SE,,,PAS,SB,38:04.5,,2019-06-14 4024
133,6436,"University Pkwy / SR-265 @ 2230 N / Riverside Ave / 550 W, PVO",6/14/2019 15:15,6/17/2019 8:46,NE,,,NW,2,4,6,8,,,,N,PAS,SB,41:31.1,,2019-06-14 6436
134,7610,"5415 S / 5400 S / SR-173 @ 4800 W / Charlotte Ave, KRN",6/14/2019 15:16,6/17/2019 8:46,N,,,W,2,4,6,8,,,,NW,PAS,JDD,20:15.3,,2019-06-14 7610
135,8117,"St George Blvd / SR-34 @ Main St, STG",6/14/2019 15:16,6/17/2019 8:46,N,E,,,2,4,6,8,NE,,,,PAS,SB,34:36.8,,2019-06-14 8117
136,7610,"5415 S / 5400 S / SR-173 @ 4800 W / Charlotte Ave, KRN",6/17/2019 8:56,6/18/2019 16:09,,E,S,,2,4,6,8,,SE,,,PAS,,48:57.2,,2019-06-17 7610
137,5330,"US-89/91 @ 1700 S / Park Ave / 600 W, LGN",6/24/2019 11:49,6/26/2019 13:38,,,SW,NW,8,2,4,6,,,W,,PAS,SB,54:19.9,,2019-06-24 5330
